,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,22:29,157,"1,899",553,9,44,52.8,188,8,367,197,17,20,586,89%,3,2,86.3%,252,26,1,14,5,81%,29/36,Rabbitohs vs Wests Tigers,Rabbitohs,2013
1,53%,25:21,140,"1,290",462,3,26,41.6,122,8,294,149,19,18,318,94%,2,5,85.4%,304,44,0,8,5,52%,16/31,Rabbitohs vs Wests Tigers,Wests Tigers,2013
