,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,23:14,156,"1,499",511,1,35,40.5,166,3.41s,10,344,190,15,18,363,1,50%,5,8,84.5%,343,36,27,13,9,0,1,6,70%,26/37,Rabbitohs vs Raiders,Rabbitohs,2017
1,54%,27:17,185,"1,689",627,6,36,41.2,171,3.6s,12,400,222,8,17,483,1,64%,4,3,84.4%,271,35,15,10,10,1,0,7,80%,33/41,Rabbitohs vs Raiders,Raiders,2017
