,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,33%,16:05,155,"1,359",455,4,25,33.2,152,4.01s,7,367,210,23,15,463,0,53%,2,3,89.2%,340,25,16,3,61%,25/41,Sea Eagles vs Eels,Sea Eagles,2015
1,67%,32:39,176,"1,443",511,4,25,37,145,3.98s,8,425,228,16,22,557,2,83%,3,4,89%,292,25,11,6,67%,26/39,Sea Eagles vs Eels,Eels,2015
