,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,38%,20:25,158,"1,434",585,3,24,37.8,184,11,376,194,13,20,541,0,89%,2,5,92.4%,302,14,11,6,82%,31/38,Bulldogs vs Sea Eagles,Bulldogs,2014
1,62%,33:18,151,"1,271",424,3,14,30.3,184,10,388,215,7,23,659,1,88%,7,2,90.3%,354,24,14,5,79%,33/42,Bulldogs vs Sea Eagles,Sea Eagles,2014
