,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,24:52,179,"1,747",553,7,36,41.6,227,3.56s,7,366,203,12,18,409,1,43%,3,2,88.7%,322,25,0,16,11,8,1,8,2,76%,32/42,Eels vs Titans,Eels,2018
1,51%,25:52,162,"1,623",497,6,25,45.1,161,3.32s,10,368,212,19,13,284,1,62%,3,3,87.4%,320,36,1,10,15,10,1,7,0,64%,23/36,Eels vs Titans,Titans,2018
