,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,20:14,136,"1,252",425,1,15,44.7,106,3.52s,6,319,171,22,18,442,0,62%,0,8,3,88.8%,334,27,15,5,6,8,0,82%,23/28,Sea Eagles vs Storm,Sea Eagles,2016
1,58%,27:57,190,"1,845",513,9,27,46.1,270,3.54s,12,428,239,29,20,444,6,75%,1,4,8,94%,297,15,4,9,4,8,2,80%,32/40,Sea Eagles vs Storm,Storm,2016
