,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,40%,20:46,156,"1,439",521,3,18,38.9,188,3.97s,5,376,209,16,21,698,1,100%,9,4,86.9%,339,28,23,6,86%,32/37,Rabbitohs vs Dragons,Rabbitohs,2015
1,60%,31:09,176,"1,749",571,4,28,50,210,3.65s,17,398,221,34,20,443,4,100%,0,9,93.4%,354,18,7,7,77%,27/35,Rabbitohs vs Dragons,Dragons,2015
