,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,22:52,171,"1,603",593,7,16,42.2,183,3.59s,12,354,180,23,17,683,80%,4,1,86.1%,272,30,1,14,1,0,82%,31/38,Broncos vs Knights,Broncos,2015
1,51%,23:49,143,"1,531",428,6,30,51.1,236,4.29s,13,328,179,10,13,410,80%,2,1,90.1%,346,16,1,22,4,1,60%,18/30,Broncos vs Knights,Knights,2015
