,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,25:12,181,"1,894",686,6,32,51.2,286,4.14s,14,414,221,24,22,483,3,83%,6,5,91.7%,331,21,9,5,68%,25/37,Roosters vs Wests Tigers,Roosters,2015
1,43%,19:00,145,"1,312",548,1,21,41,115,4.17s,4,327,167,7,19,451,2,71%,6,5,84.7%,344,32,30,5,75%,24/32,Roosters vs Wests Tigers,Wests Tigers,2015
