,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,20:32,157,"1,463",480,7,29,37.5,155,3.67s,7,355,195,26,15,472,1,78%,2,3,88.3%,323,14,2,29,5,1,74%,29/39,Storm vs Titans,Storm,2015
1,56%,26:08,169,"1,392",484,3,14,40.9,154,3.16s,15,376,207,28,17,486,1,50%,3,5,88.2%,299,29,0,11,8,0,74%,25/34,Storm vs Titans,Titans,2015
