,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,20:51,143,"1,429",436,3,24,42,360,7,363,205,9,18,478,4,91%,1,4,88.4%,320,26,0,16,4,0,74%,25/34,Eels vs Titans,Eels,2013
1,57%,27:38,162,"1,754",576,9,26,50.1,226,12,377,203,11,18,419,0,80%,5,3,89.3%,299,24,1,12,7,1,80%,28/35,Eels vs Titans,Titans,2013
