,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,61%,29:46,182,"1,772",534,4,18,41.2,182,3.61s,8,411,216,15,18,429,1,78%,6,4,89.4%,330,26,2,13,10,1,72%,31/43,Wests Tigers vs Dragons,Wests Tigers,2015
1,39%,19:01,185,"1,590",517,1,26,38.8,150,3.76s,7,395,222,27,19,432,4,75%,5,3,92.3%,406,18,0,16,8,1,66%,27/41,Wests Tigers vs Dragons,Dragons,2015
