,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,32:57,176,"1,710",617,2,17,43.9,279,3.93s,5,393,196,19,24,626,2,82%,3,6,86.7%,392,40,1,20,5,1,74%,29/39,Eels vs Wests Tigers,Eels,2015
1,43%,24:51,204,"1,796",644,4,40,41.8,228,3.75s,12,438,212,15,31,800,1,100%,6,6,93.3%,364,17,0,9,6,0,84%,36/43,Eels vs Wests Tigers,Wests Tigers,2015
