,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,24:53,173,"1,335",341,2,37,38.2,157,3.32s,3,360,203,3,13,301,1,83%,3,1,90.1%,374,18,23,16,7,8,63%,22/35,Rabbitohs vs Panthers,Rabbitohs,2019
1,55%,30:24,213,"1,530",441,3,18,38.3,143,3.37s,12,445,254,18,16,472,2,33%,4,4,87.6%,304,37,6,12,5,7,70%,28/40,Rabbitohs vs Panthers,Panthers,2019
