,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,25:24,170,"1,479",507,4,33,38.9,188,2.85s,10,414,226,17,20,493,2,64%,1,4,90.8%,346,22,1,13,11,6,8,79%,30/38,Storm vs Broncos,Storm,2016
1,50%,25:24,166,"1,486",463,5,22,40.2,218,3.56s,8,368,187,26,18,476,0,60%,5,3,86.1%,304,33,2,16,9,6,8,78%,29/37,Storm vs Broncos,Broncos,2016
