,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,27:58,172,"1,649",510,6,28,42.3,178,3.72s,13,399,219,22,23,483,1,70%,1,12,85.9%,286,24,3,23,4,0,77%,30/39,Bulldogs vs Titans,Bulldogs,2015
1,44%,21:59,155,"1,399",416,3,24,38.9,150,3.75s,10,348,184,41,17,448,1,90%,5,5,86.3%,302,28,1,20,5,1,61%,22/36,Bulldogs vs Titans,Titans,2015
