,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,21:37,136,"1,325",443,4,32,42.7,180,3.16s,10,299,153,24,15,370,1,92%,6,1,87.6%,346,21,28,8,9,6,77%,24/31,Bulldogs vs Warriors,Bulldogs,2018
1,58%,29:52,192,"1,738",568,6,21,45.8,197,3.05s,20,426,233,47,22,530,3,86%,5,6,85.8%,295,32,17,6,5,8,87%,33/38,Bulldogs vs Warriors,Warriors,2018
