,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,23:20,148,"1,556",577,3,29,44.5,266,3.1s,7,320,172,20,15,487,3,40%,0,3,4,96.6%,312,10,0,1,9,6,7,2,74%,26/35,Warriors vs Raiders,Warriors,2018
1,52%,25:16,122,"1,194",511,2,10,37.3,155,3.45s,1,292,153,12,18,538,1,78%,1,1,5,88.6%,303,29,1,10,9,10,7,0,72%,23/32,Warriors vs Raiders,Raiders,2018
