,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,23:29,139,"1,404",457,4,16,40.1,277,3.83s,7,318,165,14,20,590,0,64%,3,1,93.2%,409,26,4,10,1,80%,28/35,Raiders vs Cowboys,Raiders,2015
1,54%,27:34,201,"1,794",646,2,26,41.7,187,3.55s,2,455,251,15,25,678,3,71%,3,5,91.1%,285,16,12,7,0,84%,36/43,Raiders vs Cowboys,Cowboys,2015
