,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,25:02,150,"1,400",515,2,21,36.9,186,4,354,181,18,23,633,3,78%,7,4,87.1%,332,31,18,9,1,79%,30/38,Knights vs Dragons,Knights,2013
1,53%,28:14,181,"1,528",516,2,31,38.2,231,15,406,204,37,24,650,2,90%,4,2,92.8%,324,21,4,8,0,85%,34/40,Knights vs Dragons,Dragons,2013
