,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,25:19,162,"1,688",713,4,28,49.7,131,3.41s,7,365,185,30,19,388,0,62%,0,2,7,86%,363,44,1,15,11,5,7,82%,28/34,Sharks vs Cowboys,Sharks,2017
1,55%,30:56,204,"1,723",661,3,44,43.1,129,3.17s,6,450,247,47,23,533,2,92%,1,5,3,88.6%,318,28,0,13,9,4,8,82%,33/40,Sharks vs Cowboys,Cowboys,2017
