,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,24:18,156,"1,390",467,0,24,36.6,137,3.43s,15,336,184,35,13,259,1,56%,5,6,90.5%,344,25,11,14,8,0,0,7,2,71%,27/38,Warriors vs Roosters,Warriors,2018
1,52%,26:19,165,"1,631",523,5,25,40.8,204,3.73s,5,391,218,18,19,506,1,80%,4,1,86.6%,297,24,22,10,13,1,1,8,1,80%,32/40,Warriors vs Roosters,Roosters,2018
