,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,28:18,202,"2,082",607,8,51,45.3,329,3.28s,13,421,224,19,17,413,0,65%,0,5,4,88%,381,43,9,14,8,9,1,70%,32/46,Rabbitohs vs Titans,Rabbitohs,2016
1,52%,30:40,194,"1,837",593,3,43,40,170,3.48s,7,462,254,16,25,684,1,92%,1,6,3,83.5%,338,51,16,8,6,10,0,85%,39/46,Rabbitohs vs Titans,Titans,2016
