,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,25:09,178,"1,472",176,4,20,38.7,156,3.37s,12,391,214,22,17,357,2,83%,5,4,87.1%,316,27,20,8,10,0,8,2,79%,30/38,Eels vs Raiders,Eels,2016
1,50%,25:09,155,"1,269",169,2,27,32.6,116,3.58s,12,340,175,19,16,365,3,67%,2,7,89%,317,20,19,11,7,1,6,3,72%,28/39,Eels vs Raiders,Raiders,2016
