,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,22:40,161,"1,552",528,4,25,44.4,131,3.7s,9,364,202,23,13,222,1,43%,1,5,85%,294,36,0,16,7,1,66%,23/35,Cowboys vs Sharks,Cowboys,2015
1,54%,26:36,161,"1,458",539,5,36,38.4,176,3.55s,8,389,221,22,16,335,1,83%,1,5,87.8%,309,25,1,18,6,2,76%,29/38,Cowboys vs Sharks,Sharks,2015
