,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,24:29,166,"1,536",488,5,21,43.9,209,4.05s,3,370,202,15,20,481,1,73%,6,5,92.8%,360,16,12,8,69%,24/35,Warriors vs Knights,Warriors,2015
1,53%,27:37,166,"1,556",602,5,16,43.2,160,3.66s,9,429,239,31,21,581,2,64%,7,4,92.1%,326,21,7,5,89%,32/36,Warriors vs Knights,Knights,2015
