,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,24:36,162,"1,549",467,1,23,41.9,192,3.26s,8,352,190,14,18,403,2,70%,5,6,88.4%,349,24,1,22,10,10,1,8,73%,27/37,Warriors vs Sharks,Warriors,2017
1,53%,27:45,176,"1,460",444,2,24,37.4,145,3.72s,11,376,193,22,23,606,2,83%,4,6,89.2%,296,23,0,13,8,8,0,8,85%,33/39,Warriors vs Sharks,Sharks,2017
