,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,23:00,163,"1,479",485,4,35,37.9,113,8,377,208,21,16,370,78%,1,4,83.6%,291,40,17,5,0,69%,27/39,Rabbitohs vs Roosters,Rabbitohs,2013
1,54%,27:00,161,"1,589",441,5,40,44.2,231,10,353,180,17,16,514,91%,6,0,87.2%,306,35,10,11,1,67%,24/36,Rabbitohs vs Roosters,Roosters,2013
