,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,18:39,123,"1,301",368,7,24,42,141,8,297,169,6,12,309,1,60%,1,2,86.2%,262,33,9,6,71%,22/31,Panthers vs Rabbitohs,Panthers,2013
1,51%,19:25,139,"1,323",359,8,33,42.7,131,7,313,176,6,12,342,1,80%,1,1,85.6%,237,24,16,5,77%,24/31,Panthers vs Rabbitohs,Rabbitohs,2013
