,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,30:18,198,"1,635",466,1,36,38,152,3.34s,11,453,254,16,22,583,3,77%,7,6,89.4%,388,26,20,12,3,7,1,72%,31/43,Wests Tigers vs Bulldogs,Wests Tigers,2019
1,49%,29:07,197,"1,751",447,5,26,50,143,3.33s,14,419,217,18,22,645,0,100%,6,2,87.7%,379,36,17,4,8,7,0,89%,31/35,Wests Tigers vs Bulldogs,Bulldogs,2019
