,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,27:21,175,"1,412",461,5,31,40.3,143,3.67s,21,378,197,23,21,623,0,73%,2,1,91.2%,364,31,1,4,4,0,80%,28/35,Panthers vs Eels,Panthers,2015
1,47%,24:15,168,"1,624",502,5,31,43.9,263,3.76s,3,364,195,31,25,752,3,100%,1,7,83.9%,333,31,0,33,7,1,78%,29/37,Panthers vs Eels,Eels,2015
