,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,32:21,170,"1,609",547,4,25,38.3,234,11,443,234,12,25,546,3,95%,10,6,88.7%,314,26,1,14,4,2,79%,33/42,Warriors vs Broncos,Warriors,2014
1,42%,23:26,156,"1,448",493,2,26,39.1,134,8,395,212,15,24,713,2,88%,4,5,90.8%,355,25,0,11,6,0,84%,31/37,Warriors vs Broncos,Broncos,2014
