,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,25:44,169,"1,590",493,8,32,43,138,3.62s,4,412,246,36,16,464,2,50%,1,1,7,88.9%,281,24,0,11,9,7,6,2,78%,29/37,Cowboys vs Titans,Cowboys,2016
1,46%,21:56,140,"1,249",464,1,24,39,71,3.69s,8,349,196,18,18,377,0,67%,0,5,3,90.1%,338,32,1,5,12,8,8,2,78%,25/32,Cowboys vs Titans,Titans,2016
