,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,20:15,146,"1,176",410,3,27,29.4,169,4,347,179,8,16,440,1,92%,2,4,85.6%,292,31,18,10,1,80%,32/40,Storm vs Panthers,Storm,2014
1,56%,25:46,148,"1,323",459,5,31,37.8,225,15,366,197,8,16,361,1,75%,3,3,90.1%,299,27,6,11,0,80%,28/35,Storm vs Panthers,Panthers,2014
