,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,39%,16:00,127,"1,094",367,1,18,33.2,64,3.49s,5,306,177,26,13,407,0,77%,2,2,90.7%,333,25,0,9,11,1,73%,24/33,Broncos vs Rabbitohs,Broncos,2015
1,61%,25:01,196,"1,685",498,6,25,42.1,236,3.43s,7,401,226,42,18,385,3,100%,8,3,90%,243,18,1,9,10,1,75%,30/40,Broncos vs Rabbitohs,Rabbitohs,2015
