,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,24:42,162,"1,456",509,3,15,39.4,205,3.59s,9,365,195,30,19,462,3,70%,4,4,86.7%,300,33,13,8,7,6,0,81%,30/37,Titans vs Dragons,Titans,2017
1,48%,22:48,150,"1,406",487,4,33,42.6,143,3.4s,9,332,179,25,19,453,1,43%,7,4,92.9%,327,15,10,9,11,7,1,79%,26/33,Titans vs Dragons,Dragons,2017
