,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,72%,31:01,171,"1,702",583,12,42,42.6,254,9,403,233,31,13,330,2,88%,1,2,90.6%,203,13,8,6,0,83%,33/40,Storm vs Eels,Storm,2013
1,28%,12:04,96,849,314,2,13,32.7,57,4,245,136,9,13,386,0,90%,0,3,84.8%,323,42,16,9,1,77%,20/26,Storm vs Eels,Eels,2013
