,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,23:32,156,"1,432",506,3,15,42.1,163,3.79s,7,374,207,14,24,733,3,64%,2,5,94.5%,394,20,3,7,85%,29/34,Dragons vs Rabbitohs,Dragons,2015
1,54%,27:38,162,"1,559",467,6,20,42.2,211,4.07s,3,383,203,29,23,691,2,100%,3,5,92.2%,343,15,14,5,86%,32/37,Dragons vs Rabbitohs,Rabbitohs,2015
