,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,32:32,186,"1,700",615,2,31,42.5,194,8,443,237,7,27,651,2,89%,3,9,86.4%,331,32,0,20,4,0,82%,33/40,Knights vs Roosters,Knights,2014
1,43%,24:33,167,"1,481",507,1,32,40,143,15,406,209,8,26,860,1,95%,5,3,90.9%,421,31,1,11,9,1,78%,29/37,Knights vs Roosters,Roosters,2014
