,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,25:49,192,"1,630",493,7,41,39.8,138,3.32s,7,390,208,6,19,683,0,86%,1,1,3,94.6%,316,16,2,7,8,8,80%,33/41,Wests Tigers vs Panthers,Wests Tigers,2019
1,45%,21:07,160,"1,464",447,3,16,40.7,179,3.15s,2,331,181,3,20,410,2,80%,0,6,9,88.4%,380,41,9,10,8,7,69%,25/36,Wests Tigers vs Panthers,Panthers,2019
