,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,25:44,173,"1,518",495,1,14,41,205,3.61s,10,376,213,18,20,433,3,58%,2,8,90.2%,348,21,17,8,4,1,7,1,78%,29/37,Broncos vs Storm,Broncos,2016
1,49%,24:43,173,"1,665",515,6,21,47.6,207,3.25s,9,379,199,9,25,733,0,67%,3,4,92%,320,14,14,4,8,0,6,1,86%,30/35,Broncos vs Storm,Storm,2016
