,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,33%,16:33,156,"1,263",429,2,14,34.2,100,3.67s,13,363,200,28,19,448,1,69%,0,2,92.5%,430,27,0,8,7,70%,26/37,Storm vs Knights,Storm,2015
1,67%,33:38,194,"1,781",597,2,27,41.4,194,3.59s,4,463,245,35,26,651,5,67%,5,5,90.4%,320,14,1,20,8,84%,36/43,Storm vs Knights,Knights,2015
