,Time,Event Type,Player,Team,Player On,Player Off,Score,Match,Year
0,80:00,FULL TIME,,,,,,Roosters vs Warriors,2019
1,79:58,Conversion-Missed,Latrell Mitchell,Roosters,,,,Roosters vs Warriors,2019
2,78:39,Try,Daniel Tupou,Roosters,,,42-6,Roosters vs Warriors,2019
3,78:37,Linebreak,Daniel Tupou,Roosters,,,,Roosters vs Warriors,2019
4,76:36,Line Dropout,Luke Keary,Roosters,,,,Roosters vs Warriors,2019
5,74:32,Error,Daniel Tupou,Roosters,,,,Roosters vs Warriors,2019
6,73:48,Interchange #8,,Roosters,                   Poasa Faamausili,                   Nat Butcher,,Roosters vs Warriors,2019
7,72:28,Error,Agnatius Paasi,Warriors,,,,Roosters vs Warriors,2019
8,72:15,Interchange #7,,Warriors,                   Agnatius Paasi,                   Ligi Sao,,Roosters vs Warriors,2019
9,72:07,Interchange #6,,Warriors,                   Lachlan Burr,                   Jazz Tevaga,,Roosters vs Warriors,2019
10,72:05,Interchange - Sin Bin Return,Jazz Tevaga,Warriors,,,,Roosters vs Warriors,2019
11,70:04,Conversion-Made,Latrell Mitchell,Roosters,,,38-6,Roosters vs Warriors,2019
12,70:03,Interchange #7,,Roosters,                   Victor Radley,                   Cooper Cronk,,Roosters vs Warriors,2019
13,68:31,Try,Latrell Mitchell,Roosters,,,36-6,Roosters vs Warriors,2019
14,68:25,Linebreak,Angus Crichton,Roosters,,,,Roosters vs Warriors,2019
15,65:31,Penalty - Holding Down,Cooper Cronk,Roosters,,,,Roosters vs Warriors,2019
16,64:15,Penalty - Dangerous Tackle,Jared Waerea-Hargreaves,Roosters,,,,Roosters vs Warriors,2019
17,64:06,Error,Jared Waerea-Hargreaves,Roosters,,,,Roosters vs Warriors,2019
18,63:20,Conversion-Missed,Latrell Mitchell,Roosters,,,,Roosters vs Warriors,2019
19,62:24,Video Referee,Try,Roosters,,,,Roosters vs Warriors,2019
20,62:22,Try,Mitchell Aubusson,Roosters,,,32-6,Roosters vs Warriors,2019
21,62:22,Linebreak,Mitchell Aubusson,Roosters,,,,Roosters vs Warriors,2019
22,61:44,Interchange #6,,Roosters,                   Sam Verrills,                   Victor Radley,,Roosters vs Warriors,2019
23,61:42,Sin Bin,Jazz Tevaga,Warriors,,,,Roosters vs Warriors,2019
24,61:32,Penalty - Late Tackle,Jazz Tevaga,Warriors,,,,Roosters vs Warriors,2019
25,60:07,Interchange #5,,Warriors,                   Sam Lisone,                   Bunty Afoa,,Roosters vs Warriors,2019
26,60:02,Kick Bomb,Luke Keary,Roosters,,,,Roosters vs Warriors,2019
27,58:58,Conversion-Missed,Latrell Mitchell,Roosters,,,,Roosters vs Warriors,2019
28,57:54,Video Referee,Try,Roosters,,,,Roosters vs Warriors,2019
29,57:51,Try,Brett Morris,Roosters,,,28-6,Roosters vs Warriors,2019
30,57:39,Kick Bomb,Luke Keary,Roosters,,,,Roosters vs Warriors,2019
31,56:39,Interchange #4,,Warriors,                   Leeson Ah Mau,                   Agnatius Paasi,,Roosters vs Warriors,2019
32,56:32,Conversion-Made,Latrell Mitchell,Roosters,,,24-6,Roosters vs Warriors,2019
33,55:00,Try,James Tedesco,Roosters,,,22-6,Roosters vs Warriors,2019
34,54:58,Linebreak,James Tedesco,Roosters,,,,Roosters vs Warriors,2019
35,54:38,Interchange #5,,Roosters,                   Isaac Liu,                   Zane Tetevano,,Roosters vs Warriors,2019
36,54:29,Penalty - Slow Peel,Agnatius Paasi,Warriors,,,,Roosters vs Warriors,2019
37,54:27,Interchange #4,,Roosters,                   Jared Waerea-Hargreaves,                   Sitili Tupouniua,,Roosters vs Warriors,2019
38,53:59,Error,Agnatius Paasi,Warriors,,,,Roosters vs Warriors,2019
39,52:48,Penalty - Obstruction,Angus Crichton,Roosters,,,,Roosters vs Warriors,2019
40,52:32,Line Dropout,Roger Tuivasa-Sheck,Warriors,,,,Roosters vs Warriors,2019
41,50:46,Penalty - Holding Back,Peta Hiku,Warriors,,,,Roosters vs Warriors,2019
42,50:43,Error,Adam Pompey,Warriors,,,,Roosters vs Warriors,2019
43,49:22,Penalty - Offside inside 10m,Sitili Tupouniua,Roosters,,,,Roosters vs Warriors,2019
44,49:19,Interchange #3,,Warriors,                   Ligi Sao,                   Lachlan Burr,,Roosters vs Warriors,2019
45,48:23,Kick Bomb,Kodi Nikorima,Warriors,,,,Roosters vs Warriors,2019
46,46:25,Conversion-Made,Latrell Mitchell,Roosters,,,18-6,Roosters vs Warriors,2019
47,46:11,On Report,Adam Blair,Warriors,,,,Roosters vs Warriors,2019
48,44:54,Try,Luke Keary,Roosters,,,16-6,Roosters vs Warriors,2019
49,44:50,Linebreak,Latrell Mitchell,Roosters,,,,Roosters vs Warriors,2019
50,44:14,Kick Bomb,Kodi Nikorima,Warriors,,,,Roosters vs Warriors,2019
51,43:06,Error,Sitili Tupouniua,Roosters,,,,Roosters vs Warriors,2019
52,40:17,Penalty - Ball Strip,Chanel Harris-Tavita,Warriors,,,,Roosters vs Warriors,2019
53,39:46,Penalty Shot-Made,Latrell Mitchell,Roosters,,,12-6,Roosters vs Warriors,2019
54,38:15,Interchange - HIA Cleared,,Warriors,                   Agnatius Paasi,                   Sam Lisone,,Roosters vs Warriors,2019
55,38:11,Penalty - Dangerous Tackle,Adam Blair,Warriors,,,,Roosters vs Warriors,2019
56,38:06,Error,Roger Tuivasa-Sheck,Warriors,,,,Roosters vs Warriors,2019
57,38:02,Kick Bomb,Luke Keary,Roosters,,,,Roosters vs Warriors,2019
58,36:26,Error,Kodi Nikorima,Warriors,,,,Roosters vs Warriors,2019
59,35:21,Penalty - Holding Down,Sitili Tupouniua,Roosters,,,,Roosters vs Warriors,2019
60,34:12,Penalty - Hand in the Ruck,Nat Butcher,Roosters,,,,Roosters vs Warriors,2019
61,33:32,Kick Bomb,Luke Keary,Roosters,,,,Roosters vs Warriors,2019
62,31:54,Error,Cooper Cronk,Roosters,,,,Roosters vs Warriors,2019
63,31:14,Interchange #3,,Roosters,                   Sitili Tupouniua,                   Sam Verrills,,Roosters vs Warriors,2019
64,31:07,Interchange #2,,Roosters,                   Zane Tetevano,                   Jared Waerea-Hargreaves,,Roosters vs Warriors,2019
65,30:53,Interchange #2,,Warriors,                   Bunty Afoa,                   Leeson Ah Mau,,Roosters vs Warriors,2019
66,29:12,Conversion-Made,Latrell Mitchell,Roosters,,,10-6,Roosters vs Warriors,2019
67,27:44,Try,Joseph Manu,Roosters,,,8-6,Roosters vs Warriors,2019
68,27:44,Linebreak,Joseph Manu,Roosters,,,,Roosters vs Warriors,2019
69,26:29,Error,Roger Tuivasa-Sheck,Warriors,,,,Roosters vs Warriors,2019
70,26:26,Linebreak,Brett Morris,Roosters,,,,Roosters vs Warriors,2019
71,25:25,Interchange #1,,Roosters,                   Nat Butcher,                   Isaac Liu,,Roosters vs Warriors,2019
72,25:22,Penalty - Offside inside 10m,Sam Lisone,Warriors,,,,Roosters vs Warriors,2019
73,23:45,Penalty - Escorts,Victor Radley,Roosters,,,,Roosters vs Warriors,2019
74,23:43,Kick Bomb,Blake Green,Warriors,,,,Roosters vs Warriors,2019
75,23:22,Interchange - HIA,,Warriors,                   Sam Lisone,                   Agnatius Paasi,,Roosters vs Warriors,2019
76,22:55,Kick Bomb,Luke Keary,Roosters,,,,Roosters vs Warriors,2019
77,20:44,Error,Luke Keary,Roosters,,,,Roosters vs Warriors,2019
78,19:50,Penalty - Early Tackle,Adam Pompey,Warriors,,,,Roosters vs Warriors,2019
79,18:32,Conversion-Missed,Latrell Mitchell,Roosters,,,,Roosters vs Warriors,2019
80,17:02,Try,Latrell Mitchell,Roosters,,,4-6,Roosters vs Warriors,2019
81,17:02,Linebreak,Latrell Mitchell,Roosters,,,,Roosters vs Warriors,2019
82,16:43,Linebreak,Luke Keary,Roosters,,,,Roosters vs Warriors,2019
83,15:26,Error,Victor Radley,Roosters,,,,Roosters vs Warriors,2019
84,13:51,Error,Lachlan Burr,Warriors,,,,Roosters vs Warriors,2019
85,12:23,Linebreak,James Tedesco,Roosters,,,,Roosters vs Warriors,2019
86,11:11,Penalty - Obstruction,Leeson Ah Mau,Warriors,,,,Roosters vs Warriors,2019
87,10:12,Penalty - Hand in the Ruck,Jared Waerea-Hargreaves,Roosters,,,,Roosters vs Warriors,2019
88,09:27,Error,Daniel Tupou,Roosters,,,,Roosters vs Warriors,2019
89,08:26,Error,Leeson Ah Mau,Warriors,,,,Roosters vs Warriors,2019
90,07:55,Interchange #1,,Warriors,                   Kodi Nikorima,                   Gerard Beale,,Roosters vs Warriors,2019
91,06:49,Error,Brett Morris,Roosters,,,,Roosters vs Warriors,2019
92,05:30,Kick Bomb,Cooper Cronk,Roosters,,,,Roosters vs Warriors,2019
93,03:20,Conversion-Made,Chanel Harris-Tavita,Warriors,,,0-6,Roosters vs Warriors,2019
94,02:32,Video Referee,Try,Warriors,,,,Roosters vs Warriors,2019
95,02:24,Try,Roger Tuivasa-Sheck,Warriors,,,0-4,Roosters vs Warriors,2019
96,01:30,Error,Joseph Manu,Roosters,,,,Roosters vs Warriors,2019
97,00:00,KICK OFF,,,,,,Roosters vs Warriors,2019
