,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,23:29,172,"1,665",410,10,27,45,243,3.61s,11,393,224,17,19,473,1,57%,6,5,88.8%,309,13,26,9,8,0,0,8,0,78%,29/37,Roosters vs Warriors,Roosters,2019
1,55%,28:43,152,"1,210",339,0,13,39,84,3.7s,14,356,194,22,19,598,1,75%,3,2,88.3%,324,27,16,8,8,1,1,7,1,77%,24/31,Roosters vs Warriors,Warriors,2019
