,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,28:38,206,"1,837",616,7,26,40,240,3.24s,7,450,252,30,21,634,3,60%,1,5,90.2%,267,23,6,8,0,80%,37/46,Sea Eagles vs Rabbitohs,Sea Eagles,2015
1,45%,23:25,143,"1,310",416,2,23,36.4,138,4.03s,4,331,183,21,15,439,0,75%,3,3,91.2%,394,26,12,10,1,78%,28/36,Sea Eagles vs Rabbitohs,Rabbitohs,2015
