,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,24:38,168,"1,269",406,3,33,33.4,195,3.32s,8,386,218,22,18,488,2,86%,5,5,87.7%,320,31,1,14,13,8,0,1,8,68%,26/38,Knights vs Wests Tigers,Knights,2018
1,51%,25:39,157,"1,323",389,4,31,37.8,131,3.13s,11,358,187,27,19,537,3,50%,5,5,88.5%,345,34,0,11,7,8,2,0,7,80%,28/35,Knights vs Wests Tigers,Wests Tigers,2018
