,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,27:48,185,"1,410",472,4,29,31.3,157,13,433,233,18,19,508,2,80%,4,6,87.2%,314,28,0,18,7,76%,34/45,Warriors vs Sea Eagles,Warriors,2013
1,47%,24:39,183,"1,520",475,5,28,37.1,239,15,412,228,21,20,555,2,95%,2,7,86.5%,340,29,2,24,8,73%,30/41,Warriors vs Sea Eagles,Sea Eagles,2013
