,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,26:05,197,"1,907",673,2,30,43.3,273,18,440,233,16,21,525,1,100%,1,6,88.4%,344,21,0,24,5,2,77%,34/44,Titans vs Bulldogs,Titans,2014
1,43%,19:40,188,"1,737",624,6,21,43.4,163,18,435,232,14,19,562,1,82%,0,3,86.2%,350,30,1,26,8,1,65%,26/40,Titans vs Bulldogs,Bulldogs,2014
