,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,30:06,189,"1,756",551,3,15,40.8,254,14,441,218,3,29,816,4,92%,4,6,92.2%,357,15,1,15,5,81%,35/43,Warriors vs Broncos,Warriors,2013
1,43%,22:42,172,"1,591",615,1,15,39.8,261,12,416,213,4,28,894,2,96%,7,5,91.5%,388,15,0,21,3,83%,33/40,Warriors vs Broncos,Broncos,2013
