,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,24:05,155,"1,314",463,1,22,34.6,102,3.47s,7,334,166,5,18,485,0,82%,2,3,92.4%,366,20,1,10,12,6,7,76%,29/38,Bulldogs vs Cowboys,Bulldogs,2016
1,55%,29:26,184,"1,664",543,5,20,39.6,174,3.5s,6,451,256,16,25,574,5,33%,6,8,90.8%,314,22,0,10,9,8,7,81%,34/42,Bulldogs vs Cowboys,Cowboys,2016
