,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,26:52,184,"1,653",489,6,30,45.9,146,3.6s,9,366,196,34,17,410,0,86%,1,2,4,89.8%,335,24,14,4,69%,25/36,Rabbitohs vs Roosters,Rabbitohs,2015
1,48%,24:48,167,"1,571",494,4,24,46.2,174,3.6s,10,377,205,6,22,692,3,78%,0,8,3,87.7%,321,30,15,4,88%,30/34,Rabbitohs vs Roosters,Roosters,2015
