,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,23:12,196,"1,900",538,6,33,48.7,290,3.49s,6,411,230,45,20,565,0,83%,2,2,87.4%,319,28,1,18,11,2,0,6,69%,27/39,Broncos vs Wests Tigers,Broncos,2017
1,57%,30:45,170,"1,427",515,1,28,40.8,196,3.35s,10,393,210,32,21,600,3,100%,3,7,88.5%,322,33,0,9,11,5,1,8,66%,23/35,Broncos vs Wests Tigers,Wests Tigers,2017
