,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,26:58,178,"1,381",316,1,26,34.5,95,3.38s,7,383,202,10,23,730,1,83%,3,6,94.6%,437,21,0,4,13,3,8,1,73%,29/40,Wests Tigers vs Raiders,Wests Tigers,2019
1,52%,29:12,194,"1,874",451,3,21,44.6,199,3.79s,3,428,211,10,34,777,1,100%,4,12,89.2%,338,26,1,15,10,6,8,1,83%,35/42,Wests Tigers vs Raiders,Raiders,2019
