,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,24:44,174,"1,481",497,3,25,41.2,148,3.25s,8,382,208,38,17,527,0,92%,2,4,82.4%,336,40,32,12,3,6,3,75%,27/36,Bulldogs vs Roosters,Bulldogs,2017
1,54%,29:03,196,"1,834",649,6,40,47,236,3.53s,21,440,229,32,22,553,3,75%,9,7,89.4%,321,25,13,11,6,6,1,77%,30/39,Bulldogs vs Roosters,Roosters,2017
