,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,28:17,184,"1,549",332,3,30,37.8,155,3.48s,7,472,267,27,21,578,1,75%,1,7,3,90.7%,304,18,0,13,11,5,8,76%,31/41,Cowboys vs Dragons,Cowboys,2016
1,46%,24:05,150,"1,216",241,1,18,35.8,108,3.66s,6,334,166,26,18,373,3,58%,0,1,5,90.3%,373,30,1,10,14,3,8,56%,19/34,Cowboys vs Dragons,Dragons,2016
