,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,26:11,192,"1,729",512,7,53,46.7,193,3.26s,14,412,237,19,20,416,2,86%,2,11,87.3%,310,38,2,7,7,7,8,81%,30/37,Wests Tigers vs Sea Eagles,Wests Tigers,2017
1,47%,23:13,162,"1,484",532,4,38,42.4,161,3.62s,5,345,184,18,15,419,0,73%,3,3,78.8%,279,53,0,22,9,8,8,74%,26/35,Wests Tigers vs Sea Eagles,Sea Eagles,2017
