,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,24:50,168,"1,603",380,7,32,48.6,200,3.29s,3,357,177,23,21,590,2,59%,8,3,90.1%,327,25,11,8,9,0,7,2,82%,27/33,Rabbitohs vs Cowboys,Rabbitohs,2019
1,53%,28:00,181,"1,481",394,3,25,40,175,3.52s,10,400,229,35,23,386,2,90%,6,8,89.5%,331,32,7,10,4,1,6,4,78%,29/37,Rabbitohs vs Cowboys,Cowboys,2019
