,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,28:33,176,"1,532",508,2,13,39.3,209,3.98s,6,401,221,37,24,733,2,50%,0,4,4,95.5%,364,15,2,9,0,87%,34/39,Storm vs Sea Eagles,Storm,2015
1,45%,23:22,170,"1,518",597,2,15,40,113,3.44s,2,403,224,26,23,847,0,47%,1,3,1,94.3%,332,13,7,10,2,84%,32/38,Storm vs Sea Eagles,Sea Eagles,2015
