,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,25:05,171,"1,782",582,4,37,48.2,171,3.14s,7,381,214,38,12,312,2,58%,3,3,80.1%,330,54,1,28,15,10,1,8,0,68%,25/37,Panthers vs Raiders,Panthers,2017
1,54%,29:26,184,"1,679",628,4,54,40,155,3.52s,18,395,204,25,21,409,0,60%,1,7,85.1%,285,37,1,13,10,7,1,8,2,81%,34/42,Panthers vs Raiders,Raiders,2017
