,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,23:44,159,"1,285",312,3,37,32.1,160,3.62s,6,325,177,8,14,310,5,88%,1,4,88.7%,283,26,10,16,6,1,2,7,1,65%,26/40,Rabbitohs vs Knights,Rabbitohs,2019
1,50%,23:44,149,"1,261",302,3,26,36,127,3.33s,5,348,194,6,16,418,4,86%,3,6,87.2%,312,37,9,12,13,0,2,7,2,71%,25/35,Rabbitohs vs Knights,Knights,2019
