,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,26:56,193,"2,095",482,12,51,53.7,314,3.5s,13,375,208,2,17,420,1,83%,3,7,86.1%,273,26,1,18,10,8,0,0,7,1,82%,32/39,Storm vs Eels,Storm,2019
1,43%,20:19,144,"1,119",332,2,26,35,70,3.78s,12,292,162,0,12,357,0,62%,2,2,82.5%,321,51,0,17,10,6,1,1,8,0,75%,24/32,Storm vs Eels,Eels,2019
