,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,61%,32:53,192,"1,753",606,6,26,41.8,154,19,443,249,15,18,453,2,77%,1,6,87.7%,348,32,17,7,1,71%,30/42,Storm vs Dragons,Storm,2014
1,39%,21:02,158,"1,526",559,5,32,40.2,196,9,357,180,13,21,543,1,73%,5,2,85.4%,338,26,32,8,0,82%,31/38,Storm vs Dragons,Dragons,2014
