,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,38%,18:18,101,884,281,3,28,32.8,69,3.93s,4,269,162,31,9,234,0,67%,0,1,1,86.3%,352,35,21,13,11,1,8,2,59%,16/27,Roosters vs Warriors,Roosters,2018
1,62%,29:53,168,"1,471",499,3,35,36.8,202,3.66s,16,387,203,53,21,481,3,40%,1,5,4,86.7%,209,28,4,9,8,0,7,0,80%,32/40,Roosters vs Warriors,Warriors,2018
