,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,23:58,153,"1,332",469,7,24,36,106,3.57s,7,356,197,15,14,496,0,62%,3,2,90.3%,299,20,12,12,11,8,73%,27/37,Cowboys vs Titans,Cowboys,2018
1,52%,25:57,148,"1,240",481,2,20,32.6,136,3.53s,8,333,178,17,17,411,1,0%,9,0,89.5%,317,24,13,14,12,8,71%,27/38,Cowboys vs Titans,Titans,2018
